spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
SN09bb_b01_DUP_WF_28mar09-bl-z.flm            -5.3        -20539.5          2933.2           342.6          3840.6          2502.9
SN09bb_b01_DUP_WF_29mar09-bl-z.flm            -4.4        -21586.9          2749.5           317.6          3855.7          2721.7
SN09bb_b01_DUP_WF_03apr09-bl-z.flm             0.6        -15108.3           197.0           172.8          2370.2          2368.3
SN09bb_BAA_IM_07apr09-bl-z.flm             4.5         -9442.9           145.4           450.9          3360.6          3387.6
SN09bb_b01_CLA_LD_17apr09-bl-z.flm            14.6        -11507.6          3240.5           253.0          3710.7          1825.5
SN09bb_b01_DUP_BC_18apr09-bl-z.flm            15.6         -7412.9           217.3          3325.6          1971.5          3859.9
SN09bb_b01_DUP_BC_22apr09-bl-z.flm            19.6         -5311.9           139.9           256.6          2651.9          2660.6
SN09bb_b01_DUP_BC_23apr09-bl-z.flm            20.6         -5433.9           893.6           181.7          2794.9          2654.4
SN09bb_r01_GEM_GMOS_26apr-bl-z.flm            23.6         -4861.5            92.8          6064.0          2448.5          6539.0
