spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
Apr07.dat            -9.0        -18532.7          1192.9          2350.4          3595.9          4127.0
Apr08.dat            -8.1        -17766.0          1476.6           912.0          2251.5          1928.9
Apr10.dat            -6.4        -21790.8          2019.3          2099.8          3197.6          3249.0
Apr24.dat             5.6        -15236.9           269.0           375.8          3681.3          3690.6
May02.dat            12.4         -4716.9           100.7          8870.5          1723.8          9035.9
May04.dat            14.1         -8404.8          3426.0           926.0          3873.7          2031.2
May0809.dat            17.5         -8559.0          1300.6          1476.0          2470.0          2566.7
