spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
sn2007ru-20071203-z.flm            -3.0        -12675.0           453.8          3337.5          2740.9          4294.8
sn2007ru-20071206-z.flm            -0.0        -13138.9           428.8          1734.6          2400.6          2930.5
snru_dec10_fcorr_d-bl.flm             4.0         -8336.4           351.6          3123.9          3375.8          4585.9
snru_dec11_fcorr_d-bl.flm             5.0         -8499.6           174.4          4094.3          3362.0          5294.9
snru_dec15_fcorr_d-bl.flm             9.0         -9465.5           913.4          1385.6          1479.8          1809.8
snru_dec19_fcorr_d-bl.flm            13.0         -8345.5           452.2           517.8          1779.3          1797.1
snru_dec22_fcorr_d-bl.flm            16.0         -7428.1           543.7          1900.6          2033.6          2729.8
