spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
Gemini_clean-z-bl.flm             2.2        -22886.9           127.5           116.4          2807.5          2807.0
Keck_clean-z.flm             7.0        -21137.1           619.4           139.4          2133.8          2046.6
