spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
Apr07.dat            -9.0         -1131.8           361.9          2082.3
Apr08.dat            -8.1        -15555.4          5656.4          1385.4
Apr10.dat            -6.4         -7783.6           611.2          2929.6
Apr24.dat             5.6        -10058.5           565.1          1483.0
May02.dat            12.4         -8076.4          4076.1          5555.3
May04.dat            14.1         -7900.7          3401.9           486.1
May0809.dat            17.5         -3993.4            50.0             5.9
