spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
PTF10qts-20100813-z.flm            -1.2        -13301.1          1706.2          3431.4          3189.6          4363.1
10qts_20100815_Lick_3-m_v1-z.flm             0.6        -13579.7          1193.6          2684.9          2646.4          3576.0
ptf10qts_tng_20100825-z-bl.flm             9.8        -10034.8           421.5          2309.3          1787.7          2889.8
10qts_20100902_P200_v1-z.flm            17.1         -4343.6           396.8          3956.2          1999.3          4414.9
10qts_20100905_P200_v1-z-bl.flm            19.9         -3992.6          1014.5          3427.9          2835.9          4331.7
10qts_20100909_KPNO4m_v1-z-bl.flm            23.6         -2389.4           140.0           370.0          2450.8          2474.6
