spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
10vgv_20100916_Lick_3-m_v1-z-bl.flm            -6.6         -1601.7          1441.6           639.4
10vgv_20100927_HET_v1-z-bl.flm             4.2         -6413.5          5429.3          1495.2
10vgv_20101001_Lick_3-m_v1-z-bl.flm             8.2         -7985.0           112.6            11.8
