spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
sn2007bg-20070420-z.flm             5.9         -1041.2           620.3          1135.7
2007bg_20070421-z-bl.flm             6.9          -479.2           342.8          2122.7
2007bg_20070503-z-bl.flm            18.5         -6985.6          2248.7          3528.7
2007bg_20070512-z-bl.flm            27.2         -1566.0          1045.4          2654.8
2007bg_20070614-z-bl.flm            59.1         -1361.9           481.5           501.9
