spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
PTF10qts-20100813-z.flm            -1.2         -2130.1           654.1           582.4
10qts_20100815_Lick_3-m_v1-z.flm             0.6         -4462.1           272.2           293.3
ptf10qts_tng_20100825-z-bl.flm             9.8         -5446.1           363.8            85.6
10qts_20100902_P200_v1-z.flm            17.1         -5460.0           797.4           516.1
10qts_20100905_P200_v1-z-bl.flm            19.9         -1025.0           684.1           669.7
10qts_20100909_KPNO4m_v1-z-bl.flm            23.6         -6270.9          1810.9          1179.3
