spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
UVBVIS_SecondEpoch-z.flm            -2.8        -10046.0          1540.3          1057.6
UVBVIS_ThirdEpoch-z.flm            10.4         -9765.2          2308.3          1513.0
