spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
PTF10qts-20100813-z.flm            -1.2        -18003.9           179.9           365.7          4705.2          4716.0
10qts_20100815_Lick_3-m_v1-z.flm             0.6        -20350.5           268.2           228.3          3935.2          3932.7
ptf10qts_tng_20100825-z-bl.flm             9.8        -23694.6         13148.4            95.1         13356.1          2348.3
10qts_20100902_P200_v1-z.flm            17.1        -19836.6           607.0           489.2          1695.2          1656.6
10qts_20100905_P200_v1-z-bl.flm            19.9        -12636.8           303.9           281.4          1322.7          1317.7
10qts_20100909_KPNO4m_v1-z-bl.flm            23.6         -6486.4             0.6           116.1          1143.6          1149.5
