meanspecIc_-10.sav          6178.5        -10701.3          2491.2
meanspecIc_-8.sav          6170.7         -9994.2          2133.8
meanspecIc_-6.sav          6160.2         -9232.2          1858.1
meanspecIc_-4.sav          6177.1         -8897.5          2231.5
meanspecIc_-2.sav          6176.4        -10721.6          2381.2
meanspecIc_0.sav          6187.0         -8385.4          2600.5
meanspecIc_2.sav          6190.9         -7199.2          2330.1
meanspecIc_4.sav          6246.6         -4445.6          2607.9
meanspecIc_6.sav          6220.1         -3542.7          2093.6
meanspecIc_8.sav          6286.0         -2095.7          1230.8
meanspecIc_10.sav          6262.9         -3659.6          2700.0
meanspecIc_12.sav          6258.0         -5500.2          2536.5
meanspecIc_14.sav          6262.3         -5936.6          1990.9
meanspecIc_16.sav          6274.9         -4389.7          1754.8
meanspecIc_18.sav          6275.4         -4298.2          1615.1
meanspecIc_20.sav          6299.9         -3552.9          1843.8
meanspecIc_22.sav          6305.3         -2193.0          1621.3
meanspecIc_24.sav          6308.7         -2959.1          1818.6
