spec_name  phase        vel_50         velerr_16  vel_err_84   velerr_16_temperr   velerr_84_temperr
sn2007bg-20070420-z.flm             5.9        -13644.9           601.8           726.9          2128.7          2167.4
2007bg_20070421-z-bl.flm             6.9        -14196.1           345.9           162.9          2071.0          2048.4
2007bg_20070503-z-bl.flm            18.5        -11357.3          1507.1          1863.6          2086.2          2356.7
2007bg_20070512-z-bl.flm            27.2        -11179.9           731.1          3282.1          1126.1          3392.1
2007bg_20070614-z-bl.flm            59.1         -7131.0           730.1           554.1          1307.3          1217.8
