spec_name  phase        sigma_50         sigma_err_16  sigma_err_84   
PTF10qts-20100813-z.flm            -1.2        -13703.8          9518.1          3395.4
10qts_20100815_Lick_3-m_v1-z.flm             0.6        -16693.1         12918.3          2722.5
ptf10qts_tng_20100825-z-bl.flm             9.8        -12408.2          3411.6           790.1
10qts_20100902_P200_v1-z.flm            17.1         -8887.4          1075.6          1411.3
10qts_20100905_P200_v1-z-bl.flm            19.9         -4709.8          3461.2          3079.5
10qts_20100909_KPNO4m_v1-z-bl.flm            23.6         -4792.5           826.2           750.4
